Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
080082,08008,Argençola,06,Anoia,08,Barcelona,Penedès,2023,0,0,1.444155159,41.59753198,POINT (1.444155159 41.59753198)
170372,17037,Campelles,31,Ripollès,17,Girona,Comarques Gironines,2023,0,0,2.141072148,42.29479352,POINT (2.141072148 42.29479352)
250791,25079,Cubells,23,Noguera,25,Lleida,Ponent,2023,0,0,0.95713334,41.85274554,POINT (0.95713334 41.85274554)
430516,43051,Cunit,12,Baix Penedès,43,Tarragona,Penedès,2022,0,0,1.634836815,41.19809301,POINT (1.634836815 41.19809301)
251333,25133,Maials,33,Segrià,25,Lleida,Ponent,2022,0,0,0.504199067,41.36488195,POINT (0.504199067 41.36488195)
251180,25118,Juncosa,18,Garrigues,25,Lleida,Ponent,2021,0,0,0.775456987,41.3714361,POINT (0.775456987 41.3714361)
251641,25164,Penelles,23,Noguera,25,Lleida,Ponent,2021,0,0,0.965598414,41.75797244,POINT (0.965598414 41.75797244)
250030,25003,Agramunt,38,Urgell,25,Lleida,Ponent,2020,0,0,1.098635444,41.78696984,POINT (1.098635444 41.78696984)
081141,08114,Martorell,11,Baix Llobregat,08,Barcelona,Metropolità,2019,0,0,1.930730461,41.4743361,POINT (1.930730461 41.4743361)
252252,25225,Tornabous,38,Urgell,25,Lleida,Ponent,2019,0,0,1.05285368,41.70153249,POINT (1.05285368 41.70153249)
250925,25092,"Floresta, la",18,Garrigues,25,Lleida,Ponent,2018,0,0,0.919841953,41.50984771,POINT (0.919841953 41.50984771)
251116,25111,Guixers,35,Solsonès,25,Lleida,Comarques Centrals,2018,0,0,1.666343154,42.13243407,POINT (1.666343154 42.13243407)
251522,25152,"Oluges, les",32,Segarra,25,Lleida,Ponent,2018,0,0,1.320031043,41.69676951,POINT (1.320031043 41.69676951)
250387,25038,Aitona,33,Segrià,25,Lleida,Ponent,2017,0,0,0.458983454,41.49461039,POINT (0.458983454 41.49461039)
080749,08074,Cubelles,17,Garraf,08,Barcelona,Penedès,2017,0,0,1.672526156,41.20825098,POINT (1.672526156 41.20825098)
431331,43133,Roquetes,09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2017,0,0,0.503011157,40.81838249,POINT (0.503011157 40.81838249)
430419,43041,Caseres,37,Terra Alta,43,Tarragona,Terres de l'Ebre,2016,0,0,0.25057195,41.03856857,POINT (0.25057195 41.03856857)
250693,25069,Castelló de Farfanya,23,Noguera,25,Lleida,Ponent,2016,0,0,0.727346844,41.82026728,POINT (0.727346844 41.82026728)
250788,25078,Corbins,33,Segrià,25,Lleida,Ponent,2016,0,0,0.692910362,41.69065099,POINT (0.692910362 41.69065099)
430751,43075,Margalef,29,Priorat,43,Tarragona,Camp de Tarragona,2016,0,0,0.754172771,41.28448996,POINT (0.754172771 41.28448996)
172121,17212,Vidrà,24,Osona,17,Girona,Comarques Centrals,2016,0,0,2.309780855,42.12273222,POINT (2.309780855 42.12273222)
250083,25008,Albesa,23,Noguera,25,Lleida,Ponent,2015,0,0,0.659485934,41.75071608,POINT (0.659485934 41.75071608)
251142,25114,Ivorra,32,Segarra,25,Lleida,Ponent,2015,0,0,1.395661121,41.77146172,POINT (1.395661121 41.77146172)
439018,43901,Deltebre,09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2014,0,0,0.722777588,40.71960517,POINT (0.722777588 40.71960517)
251142,25114,Ivorra,32,Segarra,25,Lleida,Ponent,2014,0,0,1.395661121,41.77146172,POINT (1.395661121 41.77146172)
081859,08185,Rubió,06,Anoia,08,Barcelona,Penedès,2014,0,0,1.570183864,41.64464409,POINT (1.570183864 41.64464409)
250621,25062,Camarasa,23,Noguera,25,Lleida,Ponent,2013,0,0,0.877764265,41.87525565,POINT (0.877764265 41.87525565)
250707,25070,Castellserà,38,Urgell,25,Lleida,Ponent,2013,0,0,0.986964286,41.74684408,POINT (0.986964286 41.74684408)
439018,43901,Deltebre,09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2013,0,0,0.722777588,40.71960517,POINT (0.722777588 40.71960517)
252445,25244,Vilagrassa,38,Urgell,25,Lleida,Ponent,2013,0,0,1.106432042,41.64824278,POINT (1.106432042 41.64824278)
251410,25141,Montoliu de Segarra,32,Segarra,25,Lleida,Ponent,2012,0,0,1.269958038,41.5902694,POINT (1.269958038 41.5902694)
251538,25153,"Omellons, els",18,Garrigues,25,Lleida,Ponent,2012,0,0,0.95990685,41.5011244,POINT (0.95990685 41.5011244)
252043,25204,Seròs,33,Segrià,25,Lleida,Ponent,2012,0,0,0.411037646,41.4638672,POINT (0.411037646 41.4638672)
430424,43042,Castellvell del Camp,08,Baix Camp,43,Tarragona,Camp de Tarragona,2011,0,0,1.096907219,41.18055339,POINT (1.096907219 41.18055339)
080749,08074,Cubelles,17,Garraf,08,Barcelona,Penedès,2011,0,0,1.672526156,41.20825098,POINT (1.672526156 41.20825098)
081038,08103,Jorba,06,Anoia,08,Barcelona,Penedès,2011,0,0,1.548645289,41.6018025,POINT (1.548645289 41.6018025)
080484,08048,Carme,06,Anoia,08,Barcelona,Penedès,2010,0,0,1.62304521,41.53089786,POINT (1.62304521 41.53089786)
250707,25070,Castellserà,38,Urgell,25,Lleida,Ponent,2010,0,0,0.986964286,41.74684408,POINT (0.986964286 41.74684408)
250791,25079,Cubells,23,Noguera,25,Lleida,Ponent,2010,0,0,0.95713334,41.85274554,POINT (0.95713334 41.85274554)
251333,25133,Maials,33,Segrià,25,Lleida,Ponent,2010,0,0,0.504199067,41.36488195,POINT (0.504199067 41.36488195)
252265,25226,Torrebesses,33,Segrià,25,Lleida,Ponent,2010,0,0,0.594026858,41.42626107,POINT (0.594026858 41.42626107)
251462,25146,Navès,35,Solsonès,25,Lleida,Comarques Centrals,2009,0,0,1.636754845,41.99226914,POINT (1.636754845 41.99226914)
250791,25079,Cubells,23,Noguera,25,Lleida,Ponent,2008,0,0,0.95713334,41.85274554,POINT (0.95713334 41.85274554)
081022,08102,Igualada,06,Anoia,08,Barcelona,Penedès,2008,0,68,1.617581375,41.57871621,POINT (1.617581375 41.57871621)
080386,08038,Callús,07,Bages,08,Barcelona,Comarques Centrals,2007,16,0,1.783871713,41.78124073,POINT (1.783871713 41.78124073)
250729,25072,Cervera,32,Segarra,25,Lleida,Ponent,2007,0,0,1.27125747,41.66580832,POINT (1.27125747 41.66580832)
250791,25079,Cubells,23,Noguera,25,Lleida,Ponent,2007,0,0,0.95713334,41.85274554,POINT (0.95713334 41.85274554)
251312,25131,Massalcoreig,33,Segrià,25,Lleida,Ponent,2007,0,0,0.359348357,41.45916407,POINT (0.359348357 41.45916407)
081398,08139,Mura,07,Bages,08,Barcelona,Comarques Centrals,2007,0,0,1.976188317,41.69954107,POINT (1.976188317 41.69954107)
081038,08103,Jorba,06,Anoia,08,Barcelona,Penedès,2006,0,0,1.548645289,41.6018025,POINT (1.548645289 41.6018025)
251459,25145,Nalec,38,Urgell,25,Lleida,Ponent,2006,0,0,1.115201518,41.55982565,POINT (1.115201518 41.55982565)
172044,17204,Ullà,10,Baix Empordà,17,Girona,Comarques Gironines,2006,0,0,3.107742163,42.0508137,POINT (3.107742163 42.0508137)
250156,25015,Algerri,23,Noguera,25,Lleida,Ponent,2005,0,0,0.638489583,41.81580709,POINT (0.638489583 41.81580709)
250740,25074,Ciutadilla,38,Urgell,25,Lleida,Ponent,2005,0,0,1.138813382,41.56160701,POINT (1.138813382 41.56160701)
250791,25079,Cubells,23,Noguera,25,Lleida,Ponent,2005,0,0,0.95713334,41.85274554,POINT (0.95713334 41.85274554)
251898,25189,Rosselló,33,Segrià,25,Lleida,Ponent,2005,0,1,0.596023748,41.69579487,POINT (0.596023748 41.69579487)
080462,08046,Cardedeu,41,Vallès Oriental,08,Barcelona,Metropolità,2004,0,0,2.355346668,41.63829179,POINT (2.355346668 41.63829179)
250788,25078,Corbins,33,Segrià,25,Lleida,Ponent,2004,0,0,0.692910362,41.69065099,POINT (0.692910362 41.69065099)
251351,25135,Miralcamp,27,Pla d'Urgell,25,Lleida,Ponent,2004,0,0,0.88020209,41.60459409,POINT (0.88020209 41.60459409)
082819,08281,Teià,21,Maresme,08,Barcelona,Metropolità,2004,15,15,2.319824033,41.49967413,POINT (2.319824033 41.49967413)
251522,25152,"Oluges, les",32,Segarra,25,Lleida,Ponent,2003,0,0,1.320031043,41.69676951,POINT (1.320031043 41.69676951)
082922,08292,Vallbona d'Anoia,06,Anoia,08,Barcelona,Penedès,2003,0,0,1.709448701,41.51998537,POINT (1.709448701 41.51998537)
250143,25014,Alfés,33,Segrià,25,Lleida,Ponent,2002,0,0,0.619339111,41.52141772,POINT (0.619339111 41.52141772)
080692,08069,Collbató,11,Baix Llobregat,08,Barcelona,Metropolità,2002,0,0,1.829521495,41.56729637,POINT (1.829521495 41.56729637)
171576,17157,Sant Andreu Salou,20,Gironès,17,Girona,Comarques Gironines,2002,0,0,2.825520191,41.87335925,POINT (2.825520191 41.87335925)
250096,25009,"Albi, l'",18,Garrigues,25,Lleida,Ponent,2008,0,0,0.936040777,41.42328726,POINT (0.936040777 41.42328726)
080771,08077,Esplugues de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2021,0,0,2.087992375,41.37769777,POINT (2.087992375 41.37769777)
080180,08018,Balsareny,07,Bages,08,Barcelona,Comarques Centrals,2014,0,0,1.876819518,41.86321312,POINT (1.876819518 41.86321312)
251902,25190,Salàs de Pallars,25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2023,0,0,0.931464895,42.21254512,POINT (0.931464895 42.21254512)
171680,17168,Sant Joan de Mollet,20,Gironès,17,Girona,Comarques Gironines,2009,0,0,2.942815805,42.04581194,POINT (2.942815805 42.04581194)
250019,25001,Abella de la Conca,25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2002,0,0,1.091706045,42.1612871,POINT (1.091706045 42.1612871)
430574,43057,"Febró, la",08,Baix Camp,43,Tarragona,Camp de Tarragona,2006,0,0,1.003933683,41.27722074,POINT (1.003933683 41.27722074)
172142,17214,Vilabertran,02,Alt Empordà,17,Girona,Comarques Gironines,2023,0,0,2.979693865,42.28356246,POINT (2.979693865 42.28356246)
250334,25033,Artesa de Lleida,33,Segrià,25,Lleida,Ponent,2023,0,0,0.703394598,41.55174258,POINT (0.703394598 41.55174258)
251305,25130,Maldà,38,Urgell,25,Lleida,Ponent,2012,0,0,1.040176789,41.55110193,POINT (1.040176789 41.55110193)
080235,08023,Bigues i Riells del Fai,41,Vallès Oriental,08,Barcelona,Metropolità,2006,18,0,2.208271917,41.67932227,POINT (2.208271917 41.67932227)
082346,08234,Sant Pere de Vilamajor,41,Vallès Oriental,08,Barcelona,Metropolità,2007,0,0,2.390629567,41.68501897,POINT (2.390629567 41.68501897)
439057,43905,Salou,36,Tarragonès,43,Tarragona,Camp de Tarragona,2018,0,0,1.133565772,41.08117674,POINT (1.133565772 41.08117674)
250576,25057,"Bòrdes, es",39,Val d'Aran,25,Lleida,Alt Pirineu i Aran,2017,0,0,0.719236909,42.73803938,POINT (0.719236909 42.73803938)
082476,08247,Santa Eulàlia de Riuprimer,24,Osona,08,Barcelona,Comarques Centrals,2016,0,0,2.188605638,41.91088985,POINT (2.188605638 41.91088985)
431671,43167,Vilanova d'Escornalbou,08,Baix Camp,43,Tarragona,Camp de Tarragona,2018,0,0,0.936622714,41.11296714,POINT (0.936622714 41.11296714)
170622,17062,"Escala, l'",02,Alt Empordà,17,Girona,Comarques Gironines,2003,0,0,3.133767625,42.12505878,POINT (3.133767625 42.12505878)
170736,17073,Fornells de la Selva,20,Gironès,17,Girona,Comarques Gironines,2002,0,0,2.810456867,41.93462692,POINT (2.810456867 41.93462692)
431460,43146,Senan,16,Conca de Barberà,43,Tarragona,Camp de Tarragona,2008,0,0,1.088271595,41.46993046,POINT (1.088271595 41.46993046)
081326,08132,Montmajor,14,Berguedà,08,Barcelona,Comarques Centrals,2013,0,0,1.734842842,42.01741553,POINT (1.734842842 42.01741553)
171156,17115,Ordis,02,Alt Empordà,17,Girona,Comarques Gironines,2011,0,0,2.906720201,42.21877299,POINT (2.906720201 42.21877299)
171463,17146,Riells i Viabrea,34,Selva,17,Girona,Comarques Gironines,2010,0,0,2.557623335,41.72528733,POINT (2.557623335 41.72528733)
431270,43127,Riudecanyes,08,Baix Camp,43,Tarragona,Camp de Tarragona,2005,0,0,0.96095419,41.1300198,POINT (0.96095419 41.1300198)
179026,17902,Forallac,10,Baix Empordà,17,Girona,Comarques Gironines,2021,0,0,3.055092224,41.95974452,POINT (3.055092224 41.95974452)
251484,25148,Odèn,35,Solsonès,25,Lleida,Comarques Centrals,2015,0,0,1.387099236,42.13362308,POINT (1.387099236 42.13362308)
170412,17041,Cantallops,02,Alt Empordà,17,Girona,Comarques Gironines,2020,0,0,2.925957603,42.42268242,POINT (2.925957603 42.42268242)
170947,17094,Llívia,15,Cerdanya,17,Girona,Alt Pirineu i Aran,2009,0,0,1.981799668,42.46507864,POINT (1.981799668 42.46507864)
170031,17003,Albanyà,02,Alt Empordà,17,Girona,Comarques Gironines,2014,0,0,2.720108023,42.30474663,POINT (2.720108023 42.30474663)
171714,17171,Sant Llorenç de la Muga,02,Alt Empordà,17,Girona,Comarques Gironines,2018,0,0,2.790097926,42.32067057,POINT (2.790097926 42.32067057)
080902,08090,Gaià,07,Bages,08,Barcelona,Comarques Centrals,2002,0,0,1.925435009,41.91652923,POINT (1.925435009 41.91652923)
170887,17088,Lladó,02,Alt Empordà,17,Girona,Comarques Gironines,2022,0,0,2.813404691,42.24769882,POINT (2.813404691 42.24769882)
171772,17177,Sant Pau de Segúries,31,Ripollès,17,Girona,Comarques Gironines,2022,0,0,2.365664211,42.26185991,POINT (2.365664211 42.26185991)
251850,25185,Ribera d'Urgellet,04,Alt Urgell,25,Lleida,Alt Pirineu i Aran,2007,0,0,1.382781138,42.31268837,POINT (1.382781138 42.31268837)
