Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
081022,08102,Igualada,06,Anoia,08,Barcelona,Penedès,2008,0,68,1.617581375,41.57871621,POINT (1.617581375 41.57871621)
080386,08038,Callús,07,Bages,08,Barcelona,Comarques Centrals,2007,16,0,1.783871713,41.78124073,POINT (1.783871713 41.78124073)
251898,25189,Rosselló,33,Segrià,25,Lleida,Ponent,2005,0,1,0.596023748,41.69579487,POINT (0.596023748 41.69579487)
082819,08281,Teià,21,Maresme,08,Barcelona,Metropolità,2004,15,15,2.319824033,41.49967413,POINT (2.319824033 41.49967413)
080235,08023,Bigues i Riells del Fai,41,Vallès Oriental,08,Barcelona,Metropolità,2006,18,0,2.208271917,41.67932227,POINT (2.208271917 41.67932227)
171851,17185,Sant Joan les Fonts,19,Garrotxa,17,Girona,Comarques Gironines,2006,75,0,2.511051067,42.21265049,POINT (2.511051067 42.21265049)
081213,08121,Mataró,21,Maresme,08,Barcelona,Metropolità,2003,0,61,2.444896864,41.5398099,POINT (2.444896864 41.5398099)
171805,17180,Santa Coloma de Farners,34,Selva,17,Girona,Comarques Gironines,2010,27,0,2.662775243,41.86149583,POINT (2.662775243 41.86149583)
081846,08184,Rubí,40,Vallès Occidental,08,Barcelona,Metropolità,2022,6,0,2.031335058,41.49348467,POINT (2.031335058 41.49348467)
083054,08305,Vilafranca del Penedès,03,Alt Penedès,08,Barcelona,Penedès,2007,64,181,1.697222865,41.34649761,POINT (1.697222865 41.34649761)
250518,25051,Bellver de Cerdanya,15,Cerdanya,25,Lleida,Alt Pirineu i Aran,2011,0,12,1.774387211,42.37073001,POINT (1.774387211 42.37073001)
082135,08213,Sant Fruitós de Bages,07,Bages,08,Barcelona,Comarques Centrals,2008,0,56,1.87327387,41.75067462,POINT (1.87327387 41.75067462)
430635,43063,"Galera, la",22,Montsià,43,Tarragona,Terres de l'Ebre,2003,1,2,0.463731007,40.68155614,POINT (0.463731007 40.68155614)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2015,0,46,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
