Comarca,Iniciats HPO,Acabats HPO
Anoia,940,893
Bages,2617,2125
Segrià,2977,2288
Maresme,3871,2460
Vallès Oriental,2343,1983
Garrotxa,564,667
Selva,612,408
Vallès Occidental,14390,11107
Alt Penedès,1248,1055
Cerdanya,355,158
Montsià,1519,1276
Baix Camp,2025,1396
Baix Llobregat,12394,8787
Ripollès,265,124
Alt Empordà,1104,820
Baix Penedès,790,588
Baix Ebre,875,856
Alt Urgell,167,238
Pla d'Urgell,786,336
Barcelonès,28702,24891
Pla de l'Estany,223,217
Pallars Jussà,345,177
Noguera,505,360
Osona,1577,1210
Gironès,1899,1918
Terra Alta,112,59
Segarra,615,557
Urgell,825,344
Baix Empordà,947,912
Val d'Aran,66,95
Alt Camp,263,216
Conca de Barberà,437,172
Garraf,1560,1220
Garrigues,116,89
Tarragonès,3103,2630
Alta Ribagorça,3,3
Ribera d'Ebre,569,99
Berguedà,467,90
Moianès,21,4
Priorat,35,7
Pallars Sobirà,65,20
Lluçanès,10,2
Solsonès,121,91
