Municipi,Iniciats HPO,Acabats HPO
Igualada,488,538
Callús,83,83
Rosselló,16,1
Teià,233,124
Bigues i Riells del Fai,36,18
Sant Joan les Fonts,81,82
Mataró,812,486
Santa Coloma de Farners,122,128
Rubí,347,313
Vilafranca del Penedès,624,579
Bellver de Cerdanya,84,46
Sant Fruitós de Bages,369,308
"Galera, la",4,4
Reus,1629,1195
Sabadell,5748,4692
Olesa de Montserrat,93,75
Sant Joan de les Abadesses,115,57
Castelló d'Empúries,0,10
Santa Perpètua de Mogoda,483,317
Barberà del Vallès,489,303
Vilajuïga,4,4
Maçanet de la Selva,5,0
"Vall d'en Bas, la",15,15
"Arboç, l'",174,187
Caldes de Montbui,13,5
Lleida,2252,2030
Sant Celoni,101,75
Balsareny,81,40
Martorell,304,368
Cunit,88,88
Deltebre,176,130
"Seu d'Urgell, la",150,214
Ivars d'Urgell,10,10
Badalona,2451,1796
Banyoles,174,176
Barcelona,19523,16947
Sant Feliu de Llobregat,756,603
"Masnou, el",334,118
Lliçà d'Amunt,96,64
Sant Just Desvern,842,781
Tremp,119,97
Pardines,8,4
Riudarenes,32,1
Castellgalí,24,1
Penelles,9,9
Terrassa,2608,1849
Mollet del Vallès,567,573
Sant Quirze de Besora,58,34
Sarrià de Ter,23,22
Sant Vicenç dels Horts,77,32
Corbera d'Ebre,0,1
Sant Quirze del Vallès,292,213
Santa Coloma de Gramenet,1341,1399
Guissona,503,434
Vilafant,25,25
"Hospitalet de Llobregat, l'",3434,2831
Sant Joan de Vilatorrada,61,67
Tàrrega,306,203
"Escala, l'",24,0
Gavà,874,994
"Sénia, la",64,54
Santpedor,34,18
Sant Jaume d'Enveja,25,1
Arenys de Mar,131,69
"Aldea, l'",33,34
Sant Adrià de Besòs,1953,1918
Alcoletge,80,60
Alfarràs,39,0
"Bisbal d'Empordà, la",270,215
Horta de Sant Joan,36,18
Banyeres del Penedès,104,65
Sant Sadurní d'Anoia,128,131
Les,11,10
Santa Margarida i els Monjos,248,132
Palafrugell,273,338
Polinyà,212,209
Pratdip,7,7
Figuerola del Camp,1,1
Castellet i la Gornal,10,10
Cànoves i Samalús,22,21
Palau-saverdera,50,26
Montblanc,201,141
Quart,101,101
Campllong,9,9
Llagostera,246,172
Molins de Rei,376,406
Artesa de Segre,87,41
Sant Andreu de la Barca,454,283
Premià de Dalt,94,64
Esplugues de Llobregat,572,265
Torroella de Montgrí,79,79
Palau-sator,8,4
Torregrossa,14,0
Torres de Segre,47,30
Abrera,672,382
Cerdanyola del Vallès,684,521
Matadepera,90,36
"Pobla de Segur, la",206,61
Montgat,749,552
Valls,78,113
Sant Boi de Llobregat,934,388
Sant Andreu de Llavaneres,123,0
Lloret de Mar,56,28
Sant Pere de Ribes,379,293
Capellades,8,0
Salt,298,439
Sant Feliu de Guíxols,55,56
"Franqueses del Vallès, les",273,264
"Pla de Santa Maria, el",164,82
Ripoll,100,42
Montagut i Oix,0,1
Artés,141,125
Pallejà,86,166
Fontcoberta,41,41
"Borges Blanques, les",22,55
Alcarràs,127,36
Vilanova i la Geltrú,318,294
Tortosa,414,506
Ripollet,321,417
Tornabous,2,26
Amposta,747,721
Castellbisbal,1,0
Canet de Mar,63,94
Vilagrassa,8,8
Sant Vicenç de Torelló,30,18
Llançà,65,44
Girona,801,825
"Planes d'Hostoles, les",21,7
Begues,102,51
Cadaqués,10,18
Llívia,142,18
Vilanova del Camí,158,102
Vila-seca,371,347
Blanes,120,143
Barbens,12,0
Viladecavalls,61,7
Sant Esteve Sesrovires,150,75
Constantí,160,160
Llinars del Vallès,33,19
Corbera de Llobregat,36,36
Vic,931,718
"Ràpita, la",432,312
Roquetes,88,54
Castellfollit de la Roca,24,24
Tiana,358,290
Vallfogona de Balaguer,92,30
"Pont de Suert, el",3,3
Sant Gregori,159,87
Anglès,39,37
Sant Martí de Tous,14,4
Gurb,16,16
Cassà de la Selva,57,48
Vilablareix,122,122
Arbeca,9,6
Móra la Nova,383,49
Vallirana,140,55
Navarcles,71,33
Montellà i Martinet,42,21
Cambrils,100,115
"Prats de Rei, els",31,15
Vandellòs i l'Hospitalet de l'Infant,193,71
Vielha e Mijaran,55,67
Forallac,64,32
Granollers,702,462
Sant Joan Despí,1192,828
Guardiola de Berguedà,131,3
Torrefarrera,21,11
Calonge i Sant Antoni,19,33
Premià de Mar,23,23
Bell-lloc d'Urgell,88,0
Vilanova de Sau,12,0
Roda de Berà,28,15
"Valls de Valira, les",8,0
Sarral,42,0
"Prat de Llobregat, el",1083,856
"Papiol, el",9,9
Badia del Vallès,114,72
Sitges,739,633
Cardona,32,32
Sils,8,8
Vilanova de Bellpuig,18,18
Batea,4,4
Bellpuig,109,50
Almacelles,109,0
Parets del Vallès,114,114
Gelida,63,63
Súria,138,198
Os de Balaguer,30,0
Figueres,674,497
Albinyana,16,8
Benissanet,25,3
Bellvís,118,0
"Vendrell, el",298,240
Montmeló,69,107
Viladecans,1348,446
Sant Cugat del Vallès,1694,1259
