Municipi,Iniciats HPO,Acabats HPO
Barcelona,19523,16947
Sabadell,5748,4692
"Hospitalet de Llobregat, l'",3434,2831
Terrassa,2608,1849
Badalona,2451,1796
Lleida,2252,2030
Sant Adrià de Besòs,1953,1918
Sant Cugat del Vallès,1694,1259
Reus,1629,1195
Cornellà de Llobregat,1623,1111
Tarragona,1518,1484
Viladecans,1348,446
Santa Coloma de Gramenet,1341,1399
Manresa,1213,987
Sant Joan Despí,1192,828
"Prat de Llobregat, el",1083,856
Sant Boi de Llobregat,934,388
Vic,931,718
Gavà,874,994
Montcada i Reixac,866,570
